,dots-comparison_LISAS_correct,match-sample_LISAS_correct,match-sample-rotate_LISAS_correct,match-points-number_LISAS_correct,symbolic-magnitude_LISAS_correct,numeric-line_LISAS_correct,counting_LISAS_correct,counting-true_LISAS_correct,simple-arithmetic-plus_LISAS_correct,simple-arithmetic-minus_LISAS_correct
86,3768.2,12357.288511638228,4946.222222222223,8952.667055741857,2080.6,8951.791043260437,6449.555555555556,26040.905411120184,10311.9,23041.262441370513
87,19639.1,6013.086484607962,8473.06093165669,7081.1,11975.799641349638,5879.0,9832.333333333334,15788.223097781956,13055.7,17291.5241240637
88,1907.6,3782.933728292206,5617.380482697064,8139.551801766759,1820.8,4100.704441290234,8988.432382512849,7828.604437486874,5043.434642554286,3836.0779235897226
89,1981.6,5157.4905442424415,5410.550539999165,5220.5,3008.9,8740.215916073332,8585.866638985706,12932.76311638333,27266.0713953082,22459.599542401396
90,5121.8,7164.833252668926,4252.1267775957285,3361.9,1586.9,4466.260029256275,14698.155424652377,30545.537339844097,20682.64484369951,15855.462517505497
91,1862.3,7730.614465409613,4964.308522269346,7685.866006907355,3507.108575473163,8012.296018512574,5670.555555555556,12710.42664196383,8966.9,12387.021677660021
92,2533.5568610056557,3913.1529828574717,3466.319978216158,5593.202530707746,3065.599901236453,9612.816210911358,15185.271483917311,14853.35821860803,22389.806121628353,17419.45403165609
93,11363.856991383951,5433.828598057336,9507.82320761295,12034.864251215731,3179.0,12524.548170078537,34163.3671443225,46652.704132000465,38320.29144597644,36789.55292699099
94,8207.885947844616,6181.210965392105,5824.724415343186,9320.3,3897.160451623868,3691.3757803051003,6612.111111111111,9207.21052631579,19048.222577979355,18976.96291840102
95,19626.798696195005,3216.34326462757,3507.1703820697876,10465.483251922855,1802.5,11615.395506310333,12008.263361671055,10836.300181050618,7497.6,29830.256786199836
96,2903.8855680116326,5501.888888888889,3853.3333333333335,9306.990085745016,2124.3,10035.8149331007,6017.333333333333,6229.1578947368425,10225.6,28543.037726722985
97,2744.0,6144.74419281548,4812.965288890639,4970.9,6317.605679278331,11648.72008180652,6234.0,18831.363824868095,20181.6,27901.616823725737
98,7192.162029066476,24387.12596191769,19596.728141783246,15855.029705223897,5259.90164121217,17645.0,9961.949611130867,11431.359437903415,24816.49199696177,21325.133627472005
99,1869.5,10560.113162873678,11709.122009604505,9440.744036611148,5452.610284372804,7495.627719721481,13615.384946174667,10860.49269464228,6622.9,18538.717427083182
100,1516.0,3863.6626905645403,3584.088728177901,4854.2,2154.7,5901.260953238692,3871.6666666666665,9176.654344571016,16741.441490572302,14219.219421009097
101,1835.8,6313.7729920671,6725.484226015698,9508.136557331127,1886.4,5003.829305283809,12303.558886613895,16997.130752017623,12303.0,16494.09114670631
102,3295.9,4864.695083399701,5007.207377217945,6044.9,2468.9,7395.640857891974,5121.777777777777,19039.9953347792,47215.11126243204,26785.83467962058
103,4552.020787166717,17464.915930748466,5438.474017465297,14073.325766889871,19265.724658165178,17335.70939534187,6815.666666666667,24058.742378265037,18921.248491994214,34751.14373361309
105,1996.8,7087.582430853208,4831.411057041281,12565.046032768143,3125.827893867721,3938.6134926109034,4677.0,11675.40545306645,17795.235334414945,12155.110531283668
106,1979.9,13168.422886676315,4171.870462964363,9610.098780313248,5633.744316537095,4771.457853719453,6165.555555555556,7937.0,11113.2,28092.260971323158
107,2832.9935661574473,5867.467441623277,4308.0067163996155,13782.213705903494,1231.2,5673.4009551041445,4716.222222222223,5373.315789473684,6441.3,24431.187973607768
108,2950.2,4511.117797509003,,16533.514237409687,2011.5,9704.864876288346,5798.222222222223,21985.251283829522,,5443.0
109,5434.2,6043.629778830131,4090.3814556267316,5080.9,6082.695429373749,4266.75,7769.111111111111,9541.105263157895,8382.668367344257,8652.47529695574
110,8834.135304162453,9692.233909731985,5705.0,,1741.2,7844.120620743672,5889.666666666667,16726.406360195757,13612.050403783742,45862.50896431714
